table,field,table_in_schema,field_in_schema,field_type,field_length
sp0001(扉页-发行概况),stamp,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),uuid,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),f001Sp0001,扉页-发行概况,发行股票类型,varchar(50),50
sp0001(扉页-发行概况),f006Sp0001,扉页-发行概况,保荐机构相关子公司参与战略配售情况,varchar(500),500
sp0001(扉页-发行概况),f011Sp0001,扉页-发行概况,保荐人,varchar(100),100
sp0001(扉页-发行概况),reportType,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),sourceUrl,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),f003Sp0001Org,扉页-发行概况,发行股数占发行后总股本比例原文,varchar(600),600
sp0001(扉页-发行概况),f005Sp0001,扉页-发行概况,每股发行价格,varchar(50),50
sp0001(扉页-发行概况),f002Sp0001Lower,扉页-发行概况,发行股数下限,varchar(50),50
sp0001(扉页-发行概况),f015Sp0001,扉页-发行概况,招股说明书签署日期,varchar(50),50
sp0001(扉页-发行概况),contextref,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),f010Sp0001,扉页-发行概况,发行后总股本,varchar(200),200
sp0001(扉页-发行概况),f013Sp0001,扉页-发行概况,主承销商,varchar(100),100
sp0001(扉页-发行概况),f003Sp0001,扉页-发行概况,发行股数占发行后总股本比例（不含超额配售）,varchar(50),50
sp0001(扉页-发行概况),createtime,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),f007Sp0001,扉页-发行概况,发行人高管、员工拟参与战略配售情况,varchar(500),500
sp0001(扉页-发行概况),f012Sp0001,扉页-发行概况,联席保荐人,varchar(100),100
sp0001(扉页-发行概况),f009Sp0001,扉页-发行概况,拟上市的交易所和板块,varchar(50),50
sp0001(扉页-发行概况),f004Sp0001Unit,扉页-发行概况,每股面值原文单位,varchar(50),50
sp0001(扉页-发行概况),f004Sp0001Crt,扉页-发行概况,每股面值币种,varchar(50),50
sp0001(扉页-发行概况),f004Sp0001Org,扉页-发行概况,每股面值原文,varchar(50),50
sp0001(扉页-发行概况),f002Sp0001Up,扉页-发行概况,发行股数上限,varchar(50),50
sp0001(扉页-发行概况),f014Sp0001,扉页-发行概况,联席主承销商,varchar(100),100
sp0001(扉页-发行概况),pageIndex,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),accountingYear,扉页-发行概况,set_default_none,,
sp0001(扉页-发行概况),f002Sp0001Org,扉页-发行概况,发行股数原文,varchar(600),600
sp0001(扉页-发行概况),f004Sp0001,扉页-发行概况,每股面值,varchar(50),50
sp0001(扉页-发行概况),dataYear,扉页-发行概况,年度,varchar(50),50
sp0051(发行人基本情况-员工情况-专业构成),reportType,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),sourceUrl,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),f001Sp0051,发行人基本情况-员工情况-专业构成,专业,varchar(50),50
sp0051(发行人基本情况-员工情况-专业构成),createtime,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),contextref,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),pageIndex,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),f003Sp0051,发行人基本情况-员工情况-专业构成,占总人数的比例,varchar(50),50
sp0051(发行人基本情况-员工情况-专业构成),accountingYear,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),stamp,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),uuid,发行人基本情况-员工情况-专业构成,set_default_none,,
sp0051(发行人基本情况-员工情况-专业构成),f003Sp0051Org,发行人基本情况-员工情况-专业构成,占总人数的比例原文,varchar(50),50
sp0051(发行人基本情况-员工情况-专业构成),f002Sp0051,发行人基本情况-员工情况-专业构成,人数,varchar(50),50
sp0051(发行人基本情况-员工情况-专业构成),dataYear,发行人基本情况-员工情况-专业构成,年度,varchar(50),50
sp0055(业务与技术-软件著作权),createtime,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),f002Sp0055,业务与技术-软件著作权,登记号,varchar(50),50
sp0055(业务与技术-软件著作权),f007Sp0055,业务与技术-软件著作权,证书号,varchar(50),50
sp0055(业务与技术-软件著作权),stamp,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),f001Sp0055,业务与技术-软件著作权,软件名称,varchar(200),200
sp0055(业务与技术-软件著作权),uuid,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),f006Sp0055,业务与技术-软件著作权,登记日期,varchar(50),50
sp0055(业务与技术-软件著作权),reportType,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),sourceUrl,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),f005Sp0055,业务与技术-软件著作权,首次发表日期,varchar(50),50
sp0055(业务与技术-软件著作权),contextref,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),pageIndex,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),accountingYear,业务与技术-软件著作权,set_default_none,,
sp0055(业务与技术-软件著作权),f003Sp0055,业务与技术-软件著作权,著作权人,varchar(100),100
sp0055(业务与技术-软件著作权),f004Sp0055,业务与技术-软件著作权,取得方式,varchar(50),50
sp0055(业务与技术-软件著作权),f008Sp0055,业务与技术-软件著作权,首次发表日期备注,varchar(50),50
sp0055(业务与技术-软件著作权),dataYear,业务与技术-软件著作权,年度,varchar(50),50
sp0082(其他重要事项-涉及违法情况),reportType,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),sourceUrl,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),createtime,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),contextref,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),pageIndex,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),f001Sp0082,其他重要事项-涉及违法情况,是否存在涉及违法,varchar(50),50
sp0082(其他重要事项-涉及违法情况),accountingYear,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),stamp,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),f002Sp0082,其他重要事项-涉及违法情况,涉及违法情况（原文）,varchar(2048),2048
sp0082(其他重要事项-涉及违法情况),uuid,其他重要事项-涉及违法情况,set_default_none,,
sp0082(其他重要事项-涉及违法情况),dataYear,其他重要事项-涉及违法情况,年度,varchar(50),50
sp0005(概览-发行人选择的上市标准),reportType,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),sourceUrl,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),createtime,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),f002Sp0005,概览-发行人选择的上市标准,发行人选择的上市标准-条款编号,varchar(100),100
sp0005(概览-发行人选择的上市标准),contextref,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),pageIndex,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),accountingYear,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),stamp,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),f001Sp0005,概览-发行人选择的上市标准,发行人选择的上市标准（原文）,varchar(2048),2048
sp0005(概览-发行人选择的上市标准),uuid,概览-发行人选择的上市标准,set_default_none,,
sp0005(概览-发行人选择的上市标准),f003Sp0005,概览-发行人选择的上市标准,发行人选择的上市标准-内容,varchar(300),300
sp0005(概览-发行人选择的上市标准),dataYear,概览-发行人选择的上市标准,年度,varchar(50),50
sp0016(发行人基本情况-实际控制人),createtime,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),f003Sp0016Unit,发行人基本情况-实际控制人,实际控制人持股数量原文单位,varchar(50),50
sp0016(发行人基本情况-实际控制人),f002Sp0016,发行人基本情况-实际控制人,实际控制人名称,varchar(100),100
sp0016(发行人基本情况-实际控制人),f004Sp0016,发行人基本情况-实际控制人,实际控制人持股占比,varchar(50),50
sp0016(发行人基本情况-实际控制人),stamp,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),f001Sp0016,发行人基本情况-实际控制人,实际控制人类型,varchar(50),50
sp0016(发行人基本情况-实际控制人),f005Sp0016,发行人基本情况-实际控制人,实际控制人情况原文段落,varchar(2048),2048
sp0016(发行人基本情况-实际控制人),uuid,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),f003Sp0016Org,发行人基本情况-实际控制人,实际控制人持股数量原文,varchar(50),50
sp0016(发行人基本情况-实际控制人),reportType,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),sourceUrl,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),contextref,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),pageIndex,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),f004Sp0016Org,发行人基本情况-实际控制人,实际控制人持股占比原文,varchar(50),50
sp0016(发行人基本情况-实际控制人),accountingYear,发行人基本情况-实际控制人,set_default_none,,
sp0016(发行人基本情况-实际控制人),f003Sp0016,发行人基本情况-实际控制人,实际控制人持股数量,varchar(50),50
sp0016(发行人基本情况-实际控制人),dataYear,发行人基本情况-实际控制人,年度,varchar(50),50
sp0032(概览-发行概况（二）),f020Sp0032,概览-发行概况（二）,拟公开发售股份股东名称,varchar(50),50
sp0032(概览-发行概况（二）),f003Sp0032Lower,概览-发行概况（二）,发行股数下限,varchar(50),50
sp0032(概览-发行概况（二）),f007Sp0032,概览-发行概况（二）,股东公开发售股份数量,varchar(50),50
sp0032(概览-发行概况（二）),f017Sp0032,概览-发行概况（二）,发行方式,varchar(500),500
sp0032(概览-发行概况（二）),f010Sp0032Unit,概览-发行概况（二）,每股发行价格原文单位,varchar(50),50
sp0032(概览-发行概况（二）),uuid,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),reportType,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),sourceUrl,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),f014Sp0032,概览-发行概况（二）,发行后每股净资产,varchar(300),300
sp0032(概览-发行概况（二）),f024Sp0032,概览-发行概况（二）,发行费用概算,varchar(300),300
sp0032(概览-发行概况（二）),f014Sp0032Unit,概览-发行概况（二）,发行后每股净资产原文单位,varchar(50),50
sp0032(概览-发行概况（二）),f004Sp0032,概览-发行概况（二）,发行股数占发行后总股本比例（不含超额配售）,varchar(50),50
sp0032(概览-发行概况（二）),f011Sp0032,概览-发行概况（二）,发行市盈率,varchar(300),300
sp0032(概览-发行概况（二）),f013Sp0032Org,概览-发行概况（二）,发行前每股收益原文,varchar(200),200
sp0032(概览-发行概况（二）),f006Sp0032,概览-发行概况（二）,发行新股数量占发行后总股本比例,varchar(100),100
sp0032(概览-发行概况（二）),f015Sp0032,概览-发行概况（二）,发行后每股收益,varchar(200),200
sp0032(概览-发行概况（二）),f023Sp0032,概览-发行概况（二）,募集资金净额,varchar(100),100
sp0032(概览-发行概况（二）),f002Sp0032Crt,概览-发行概况（二）,每股面值币种,varchar(50),50
sp0032(概览-发行概况（二）),f002Sp0032Org,概览-发行概况（二）,每股面值原文,varchar(50),50
sp0032(概览-发行概况（二）),f014Sp0032Org,概览-发行概况（二）,发行后每股净资产原文,varchar(300),300
sp0032(概览-发行概况（二）),f018Sp0032,概览-发行概况（二）,发行对象,varchar(600),600
sp0032(概览-发行概况（二）),f013Sp0032Unit,概览-发行概况（二）,发行前每股收益原文单位,varchar(50),50
sp0032(概览-发行概况（二）),f002Sp0032,概览-发行概况（二）,每股面值,varchar(50),50
sp0032(概览-发行概况（二）),f012Sp0032Unit,概览-发行概况（二）,发行前每股净资产原文单位,varchar(50),50
sp0032(概览-发行概况（二）),stamp,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),f012Sp0032,概览-发行概况（二）,发行前每股净资产,varchar(200),200
sp0032(概览-发行概况（二）),f022Sp0032,概览-发行概况（二）,募集资金总额,varchar(100),100
sp0032(概览-发行概况（二）),f003Sp0032Org,概览-发行概况（二）,发行股数原文,varchar(600),600
sp0032(概览-发行概况（二）),f012Sp0032Org,概览-发行概况（二）,发行前每股净资产原文,varchar(200),200
sp0032(概览-发行概况（二）),contextref,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),f003Sp0032Up,概览-发行概况（二）,发行股数上限,varchar(50),50
sp0032(概览-发行概况（二）),f015Sp0032Org,概览-发行概况（二）,发行后每股收益原文,varchar(200),200
sp0032(概览-发行概况（二）),f009Sp0032,概览-发行概况（二）,发行后总股本,varchar(200),200
sp0032(概览-发行概况（二）),f019Sp0032,概览-发行概况（二）,承销方式,varchar(100),100
sp0032(概览-发行概况（二）),f010Sp0032Crt,概览-发行概况（二）,每股发行价格币种,varchar(50),50
sp0032(概览-发行概况（二）),createtime,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),f021Sp0032,概览-发行概况（二）,发行费用的分摊原则,varchar(200),200
sp0032(概览-发行概况（二）),f001Sp0032,概览-发行概况（二）,股票种类,varchar(50),50
sp0032(概览-发行概况（二）),f010Sp0032Org,概览-发行概况（二）,每股发行价格原文,varchar(200),200
sp0032(概览-发行概况（二）),f004Sp0032Org,概览-发行概况（二）,发行股数占发行后总股本比例原文,varchar(300),300
sp0032(概览-发行概况（二）),f016Sp0032Org,概览-发行概况（二）,发行市净率原文,varchar(200),200
sp0032(概览-发行概况（二）),f016Sp0032,概览-发行概况（二）,发行市净率,varchar(200),200
sp0032(概览-发行概况（二）),f002Sp0032Unit,概览-发行概况（二）,每股面值原文单位,varchar(50),50
sp0032(概览-发行概况（二）),f015Sp0032Unit,概览-发行概况（二）,发行后每股收益原文单位,varchar(50),50
sp0032(概览-发行概况（二）),pageIndex,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),f005Sp0032,概览-发行概况（二）,发行新股数量,varchar(200),200
sp0032(概览-发行概况（二）),accountingYear,概览-发行概况（二）,set_default_none,,
sp0032(概览-发行概况（二）),f011Sp0032Org,概览-发行概况（二）,发行市盈率原文,varchar(300),300
sp0032(概览-发行概况（二）),f010Sp0032,概览-发行概况（二）,每股发行价格,varchar(50),50
sp0032(概览-发行概况（二）),f013Sp0032,概览-发行概况（二）,发行前每股收益,varchar(200),200
sp0032(概览-发行概况（二）),f008Sp0032,概览-发行概况（二）,股东公开发售股份数量占发行后总股本比例,varchar(50),50
sp0032(概览-发行概况（二）),dataYear,概览-发行概况（二）,年度,varchar(50),50
sp0085(公司治理与独立性-发行人违法违规情况),reportType,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),sourceUrl,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),f001Sp0085,公司治理与独立性-发行人违法违规情况,是否存在违法违规,varchar(50),50
sp0085(公司治理与独立性-发行人违法违规情况),createtime,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),contextref,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),pageIndex,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),f003Sp0085,公司治理与独立性-发行人违法违规情况,违法违规情况原文,varchar(2048),2048
sp0085(公司治理与独立性-发行人违法违规情况),accountingYear,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),stamp,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),f002Sp0085,公司治理与独立性-发行人违法违规情况,是否属于重大违法违规,varchar(50),50
sp0085(公司治理与独立性-发行人违法违规情况),uuid,公司治理与独立性-发行人违法违规情况,set_default_none,,
sp0085(公司治理与独立性-发行人违法违规情况),dataYear,公司治理与独立性-发行人违法违规情况,年度,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),f003Sp0018,发行人基本情况-实际控制人的一致行动人,一致行动人持股数量,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),createtime,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),f004Sp0018,发行人基本情况-实际控制人的一致行动人,一致行动人持股占比,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),f003Sp0018Org,发行人基本情况-实际控制人的一致行动人,一致行动人持股数量原文,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),stamp,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),f001Sp0018,发行人基本情况-实际控制人的一致行动人,一致行动人名称,varchar(200),200
sp0018(发行人基本情况-实际控制人的一致行动人),uuid,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),f005Sp0018,发行人基本情况-实际控制人的一致行动人,一致行动人情况原文段落,varchar(2048),2048
sp0018(发行人基本情况-实际控制人的一致行动人),reportType,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),sourceUrl,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),contextref,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),pageIndex,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),f004Sp0018Org,发行人基本情况-实际控制人的一致行动人,一致行动人持股占比原文,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),accountingYear,发行人基本情况-实际控制人的一致行动人,set_default_none,,
sp0018(发行人基本情况-实际控制人的一致行动人),f003Sp0018Unit,发行人基本情况-实际控制人的一致行动人,一致行动人持股数量原文单位,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),f002Sp0018,发行人基本情况-实际控制人的一致行动人,一致行动人类型,varchar(50),50
sp0018(发行人基本情况-实际控制人的一致行动人),dataYear,发行人基本情况-实际控制人的一致行动人,年度,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),f003Sp0029,本次发行概况-相关机构-资产评估机构,负责人,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),createtime,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),f004Sp0029,本次发行概况-相关机构-资产评估机构,住所,varchar(100),100
sp0029(本次发行概况-相关机构-资产评估机构),stamp,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),f001Sp0029,本次发行概况-相关机构-资产评估机构,名称,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),uuid,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),f005Sp0029,本次发行概况-相关机构-资产评估机构,联系电话,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),reportType,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),sourceUrl,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),contextref,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),pageIndex,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),f006Sp0029,本次发行概况-相关机构-资产评估机构,传真,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),accountingYear,本次发行概况-相关机构-资产评估机构,set_default_none,,
sp0029(本次发行概况-相关机构-资产评估机构),f002Sp0029,本次发行概况-相关机构-资产评估机构,法定代表人,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),f007Sp0029,本次发行概况-相关机构-资产评估机构,经办资产评估师,varchar(50),50
sp0029(本次发行概况-相关机构-资产评估机构),dataYear,本次发行概况-相关机构-资产评估机构,年度,varchar(50),50
sp0015(发行人基本情况-控股股东),createtime,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),f002Sp0015,发行人基本情况-控股股东,控股股东名称,varchar(200),200
sp0015(发行人基本情况-控股股东),f001Sp0015,发行人基本情况-控股股东,控股股东类型,varchar(50),50
sp0015(发行人基本情况-控股股东),stamp,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),uuid,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),f005Sp0015,发行人基本情况-控股股东,控股股东情况原文段落,varchar(2048),2048
sp0015(发行人基本情况-控股股东),f003Sp0015Org,发行人基本情况-控股股东,控股股东持股数量原文,varchar(50),50
sp0015(发行人基本情况-控股股东),reportType,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),sourceUrl,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),f003Sp0015Unit,发行人基本情况-控股股东,控股股东持股数量原文单位,varchar(50),50
sp0015(发行人基本情况-控股股东),contextref,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),pageIndex,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),f004Sp0015Org,发行人基本情况-控股股东,控股股东持股占比原文,varchar(50),50
sp0015(发行人基本情况-控股股东),accountingYear,发行人基本情况-控股股东,set_default_none,,
sp0015(发行人基本情况-控股股东),f004Sp0015,发行人基本情况-控股股东,控股股东持股占比,varchar(50),50
sp0015(发行人基本情况-控股股东),f003Sp0015,发行人基本情况-控股股东,控股股东持股数量,varchar(50),50
sp0015(发行人基本情况-控股股东),dataYear,发行人基本情况-控股股东,年度,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),f001Sp0074,财务会计信息-营业成本分产品分析,项目名称(名称/类型),varchar(100),100
sp0074(财务会计信息-营业成本分产品分析),createtime,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),f002Sp0074Unit,财务会计信息-营业成本分产品分析,成本金额原文单位,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),stamp,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),f002Sp0074,财务会计信息-营业成本分产品分析,成本金额,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),uuid,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),reportType,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),sourceUrl,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),f003Sp0074Org,财务会计信息-营业成本分产品分析,占营业成本比原文,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),contextref,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),pageIndex,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),f003Sp0074,财务会计信息-营业成本分产品分析,占营业成本比,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),accountingYear,财务会计信息-营业成本分产品分析,set_default_none,,
sp0074(财务会计信息-营业成本分产品分析),f002Sp0074Org,财务会计信息-营业成本分产品分析,成本金额原文,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),f002Sp0074Crt,财务会计信息-营业成本分产品分析,成本金额币种,varchar(50),50
sp0074(财务会计信息-营业成本分产品分析),dataYear,财务会计信息-营业成本分产品分析,年度,varchar(50),50
sp0002(扉页-重大事项提示),reportType,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),sourceUrl,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),f002Sp0002,扉页-重大事项提示,一级标题下的内容,varchar(2048),2048
sp0002(扉页-重大事项提示),createtime,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),contextref,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),pageIndex,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),accountingYear,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),stamp,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),uuid,扉页-重大事项提示,set_default_none,,
sp0002(扉页-重大事项提示),f001Sp0002,扉页-重大事项提示,一级标题,varchar(400),400
sp0002(扉页-重大事项提示),dataYear,扉页-重大事项提示,年度,varchar(50),50
sp0084(概览-简要基本情况),f001Sp0084,概览-简要基本情况,注册中文名称,varchar(50),50
sp0084(概览-简要基本情况),f007Sp0084,概览-简要基本情况,注册地址,varchar(200),200
sp0084(概览-简要基本情况),createtime,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),f003Sp0084Crt,概览-简要基本情况,注册资本币种,varchar(50),50
sp0084(概览-简要基本情况),f003Sp0084Org,概览-简要基本情况,注册资本原文,varchar(50),50
sp0084(概览-简要基本情况),f011Sp0084,概览-简要基本情况,行业分类,varchar(500),500
sp0084(概览-简要基本情况),f012Sp0084,概览-简要基本情况,在其他交易所（申请）挂牌或上市的情况,varchar(300),300
sp0084(概览-简要基本情况),stamp,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),f006Sp0084,概览-简要基本情况,法定代表人,varchar(50),50
sp0084(概览-简要基本情况),f003Sp0084Unit,概览-简要基本情况,注册资本原文单位,varchar(50),50
sp0084(概览-简要基本情况),uuid,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),f002Sp0084,概览-简要基本情况,注册英文名称,varchar(100),100
sp0084(概览-简要基本情况),reportType,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),sourceUrl,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),f004Sp0084,概览-简要基本情况,成立日期/有限公司成立日期,varchar(50),50
sp0084(概览-简要基本情况),contextref,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),pageIndex,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),f005Sp0084,概览-简要基本情况,股份公司成立日期,varchar(50),50
sp0084(概览-简要基本情况),f003Sp0084,概览-简要基本情况,注册资本,varchar(50),50
sp0084(概览-简要基本情况),accountingYear,概览-简要基本情况,set_default_none,,
sp0084(概览-简要基本情况),f009Sp0084,概览-简要基本情况,控股股东,varchar(100),100
sp0084(概览-简要基本情况),f008Sp0084,概览-简要基本情况,主要生产经营地址,varchar(100),100
sp0084(概览-简要基本情况),f010Sp0084,概览-简要基本情况,实际控制人,varchar(100),100
sp0084(概览-简要基本情况),dataYear,概览-简要基本情况,年度,varchar(50),50
sp0049(发行人基本情况-核心技术人员),reportType,发行人基本情况-核心技术人员,set_default_none,,
sp0049(发行人基本情况-核心技术人员),sourceUrl,发行人基本情况-核心技术人员,set_default_none,,
sp0049(发行人基本情况-核心技术人员),createtime,发行人基本情况-核心技术人员,set_default_none,,
sp0049(发行人基本情况-核心技术人员),f002Sp0049,发行人基本情况-核心技术人员,职务,varchar(100),100
sp0049(发行人基本情况-核心技术人员),contextref,发行人基本情况-核心技术人员,set_default_none,,
